categories ,question,ground_truth,answer,MU
Mahabharata,Who were the sons of King Shantanu and Satyavati?,This question is not related to mental well-being.,King Shantanu and Satyavati had two sons. Their names were Chitrangada and Vichitravirya.,
Mahabharata,What enduring lessons and spiritual guidance does the Mahabharata provide?,This question is not related to mental well-being.,"The Mahabharata, one of the ancient Hindu epics, offers enduring lessons and spiritual guidance. Here are some key lessons and guidance that can be derived from the Mahabharata:

Dharma: The Mahabharata emphasizes the importance of following one's dharma, or duty, in life. It teaches that individuals should fulfill their responsibilities and make ethical choices, even in challenging situations.

Karma: The concept of karma is prominent in the Mahabharata. It teaches that every action has consequences, and individuals are responsible for their actions. It emphasizes the importance of making wise choices and taking responsibility for the outcomes.

Selflessness: The Mahabharata teaches the value of selflessness and putting others' needs before one's own. It highlights the importance of compassion, empathy, and helping others, even in the face of adversity.

Inner Strength: The epic showcases the power of inner strength and resilience. It teaches that individuals can overcome challenges and adversities through determination, perseverance, and self-belief.

Importance of Relationships: The Mahabharata explores various relationships and their complexities. It emphasizes the significance of maintaining strong bonds with family and loved ones, while also highlighting the consequences of discord and betrayal.

Spiritual Wisdom: The Mahabharata contains philosophical and spiritual teachings that provide guidance on leading a meaningful and purposeful life. It explores concepts such as self-realization, devotion, and the pursuit of spiritual enlightenment.

Remember, these are just a few lessons and guidance that can be derived from the Mahabharata. The epic is rich in wisdom and offers a vast array of teachings that can be interpreted and applied in various ways.",
Mahabharata,What was the significance of Kunti’s divine boons in the Mahabharata?,This question is not related to mental well-being.,"in the Mahabharata, Kunti's divine boons were significant for several reasons:

Power of Invocation: Kunti possessed the ability to invoke gods and receive their blessings. This allowed her to summon gods like Indra, Vayu, and Yama, resulting in the birth of her sons, including Karna, Arjuna, and Bhima.

Motherhood: Kunti's divine boons enabled her to become a mother, even before her marriage. This played a crucial role in shaping the destiny of the Pandavas and Karna.

Lineage and Legitimacy: Kunti's divine boons provided her sons with a divine lineage. This gave them a higher status and legitimacy in society, which was important in the context of the epic.

Strategic Advantage: Kunti's ability to invoke gods and receive their blessings gave the Pandavas an advantage in the war. For example, Arjuna's divine lineage and skills as an archer played a significant role in the Kurukshetra war.

It's important to note that the Mahabharata is a complex epic with multiple interpretations, and the significance of Kunti's divine boons can vary depending on different perspectives and interpretations.",
Mahabharata,How did Dhritarashtra and Pandu come into existence?,This question is not related to mental well-being.,"Dhritarashtra and Pandu are characters from the Indian epic, the Mahabharata. According to the Mahabharata, Dhritarashtra and Pandu were born to Queen Ambalika and King Vichitravirya. Here's a brief explanation of their existence:

Dhritarashtra: Dhritarashtra was born blind. He was the elder brother of Pandu and the father of the Kauravas. Dhritarashtra's blindness was a result of a curse. When Queen Ambika, Dhritarashtra's mother, was pregnant with him, she was frightened by a sage's curse. As a result, Dhritarashtra was born blind.

Pandu: Pandu was the younger brother of Dhritarashtra and the father of the Pandavas. Unlike Dhritarashtra, Pandu did not have any physical disabilities. However, he faced a different challenge. Due to a curse, Pandu was unable to have children with his wives. As a result, his wives Kunti and Madri sought the help of gods and were blessed with children through divine intervention.

Please note that this explanation is based on the mythology of the Mahabharata.",
Mahabharata,"Who were the five Pandavas, and who were their mothers?",This question is not related to mental well-being.,"The five Pandavas were prominent characters in the Indian epic, Mahabharata. They were the sons of King Pandu and his two wives, Kunti and Madri. Here are the names of the Pandavas and their respective mothers:

Yudhishthira - Kunti
Bhima - Kunti
Arjuna - Kunti
Nakula - Madri
Sahadeva - Madri",
Mental Health,"What are the common signs of depression?"" ","Persistent Sadness: Feeling sad, empty, or hopeless most of the day, nearly every day.
Loss of Interest: A noticeable lack of interest or pleasure in activities once enjoyed.
Changes in Appetite or Weight: Significant weight loss or gain, or changes in appetite.
Sleep Disturbances: Insomnia or oversleeping.
Fatigue: Feeling tired and having little energy, even after resting.
Feelings of Worthlessness or Guilt: Excessive or inappropriate feelings of guilt or worthlessness.
Difficulty Concentrating: Trouble making decisions, thinking, or concentrating.
Physical Symptoms: Aches, pains, or digestive problems without a clear physical cause.
Thoughts of Death or Suicide: Recurring thoughts about death, suicidal ideation, or suicide attempts.","Depression can manifest in different ways, but here are some common signs to look out for:

Persistent sadness or feeling down most of the time.
Loss of interest or pleasure in activities that used to bring joy.
Changes in appetite or weight (eating too much or too little).
Difficulty sleeping or sleeping too much.
Feeling tired or lacking energy.
Trouble concentrating or making decisions.
Feelings of worthlessness or excessive guilt.
Irritability or restlessness.
Physical symptoms like headaches, stomachaches, or body pain without a known cause.
Thoughts of death or suicide.
Remember, everyone's experience with depression is unique, and not everyone will have all of these symptoms. If you or someone you know is experiencing these signs and it's affecting daily life, it's important to seek support from a mental health professional.",
Mental Health,"Can you explain what anxiety feels like?
","Physical Symptoms: Increased heart rate, sweating, trembling, shortness of breath, dizziness, or gastrointestinal problems.
Emotional Symptoms: Feeling nervous, restless, or tense; having a sense of impending danger, panic, or doom.
Cognitive Symptoms: Excessive worrying, difficulty controlling worry, trouble concentrating, mind going blank.
Behavioral Symptoms: Avoidance of situations that cause anxiety, inability to relax, hypervigilance.","Anxiety can feel different for each person, but here are some common ways people describe it:

Feeling constantly worried or on edge
Having racing thoughts or difficulty concentrating
Feeling restless or unable to relax
Experiencing physical symptoms like a racing heart, sweating, or stomachaches
Avoiding certain situations or activities because they make you anxious
Feeling overwhelmed or having a sense of impending doom
It's important to remember that anxiety is a normal emotion, but when it starts interfering with your daily life, it may be helpful to seek support from a trusted adult or mental health professional.",
Mental Health,I'm feeling really lonely and overwhelemed. What should i do?,"Reach Out: Talk to friends, family, or a trusted person about how you’re feeling.
Seek Professional Help: Consider talking to a therapist or counselor.
Join Support Groups: Look for support groups, either in person or online, where you can share your feelings and experiences.
Engage in Activities: Participate in activities you enjoy, or try new hobbies to distract your mind.
Self-Care: Practice self-care routines, such as exercise, meditation, or spending time in nature.
Set Small Goals: Break tasks into smaller, manageable steps to avoid feeling overwhelmed.","I'm sorry to hear that you're feeling lonely and overwhelmed. It can be tough to go through these emotions. Let's explore some options to help you feel better:

Have you considered joining a support group? Connecting with others who are going through similar experiences can provide a sense of belonging and support.
Taking a break from social media and unplugging for a while can help reduce feelings of loneliness. Try deleting or deactivating social media apps for a day or longer.
Engage in activities that bring you joy and help you relax. This could include reading a book, listening to music, or doing something creative like drawing or painting.
Reach out to a trusted friend or family member and have a genuine conversation about what you're going through. Sharing your feelings with someone you trust can provide comfort and support.
Practice self-care by taking care of your physical and emotional well-being. This could involve getting enough sleep, eating nutritious meals, and engaging in activities that make you feel good.
Consider volunteering or helping others. Acts of kindness can not only make a positive impact on others but also boost your own well-being and sense of connection.
Remember, it's important to be gentle with yourself and seek professional help if you're feeling overwhelmed for an extended period of time.




",
Mental Health,How do you know if you're experiencing a mental health crisis?,"Severe Emotional Distress: Extreme emotional pain or distress that feels unbearable.
Inability to Function: Difficulty performing daily tasks or taking care of oneself.
Self-Harm: Engaging in self-injurious behavior or having thoughts of self-harm.
Suicidal Thoughts: Thinking about or planning suicide.
Paranoia or Delusions: Experiencing intense paranoia, delusions, or hallucinations.","If you're wondering if you're experiencing a mental health crisis, it's important to pay attention to your thoughts, feelings, and behaviors. Here are some signs that may indicate a mental health crisis:

Intense and overwhelming emotions: If you're experiencing extreme sadness, anxiety, anger, or hopelessness that feels unmanageable and lasts for an extended period of time, it could be a sign of a crisis.

Suicidal thoughts or self-harm: If you're having thoughts of ending your life or engaging in self-harming behaviors, it's crucial to seek help immediately. Reach out to a trusted person or a helpline.

Loss of interest or pleasure: If you've lost interest in activities you used to enjoy or find it difficult to experience joy, it could be a sign of a crisis.

Difficulty functioning: If you're finding it hard to carry out daily tasks, such as going to school or work, taking care of yourself, or maintaining relationships, it may indicate a crisis.

Changes in sleep or appetite: Significant changes in your sleep patterns or appetite, such as insomnia or excessive sleeping, loss of appetite or overeating, can be signs of a crisis.

Intense and uncontrollable worry or fear: If you're constantly feeling on edge, experiencing panic attacks, or having intense fears that interfere with your daily life, it may be a sign of a crisis.

Remember, I'm an AI tool and not a substitute for professional help. If you're experiencing any of these signs, it's important to reach out to a mental health professional, a helpline, or a trusted person in your life who can support you.",
Mental Health,What are the differences between clinical depression and sadness?,"Duration: Sadness is typically temporary, while clinical depression lasts for at least two weeks and can persist for months or years.
Intensity: Clinical depression involves intense feelings of sadness, hopelessness, and despair that interfere with daily life, whereas sadness is usually less intense and does not significantly disrupt functioning.
Physical Symptoms: Depression often includes physical symptoms such as changes in sleep, appetite, and energy levels, whereas sadness usually does not.
Loss of Interest: Depression includes a loss of interest in activities once enjoyed, while sadness may still allow for enjoyment in other aspects of life.
Functionality: Depression often impairs one's ability to function at work, school, or in social settings, whereas sadness typically does not have such a profound impact.","Clinical depression and sadness are different in several ways. Here are some key differences:

Duration and intensity: Sadness is a normal emotion that everyone experiences from time to time and is usually triggered by a specific event. It is temporary and tends to subside on its own. On the other hand, clinical depression is a mental health condition that lasts for an extended period, typically at least two weeks. It is characterized by intense feelings of sadness, hopelessness, and a loss of interest in activities that were once enjoyable.

Impact on daily life: While sadness may temporarily affect a person's mood and functioning, it does not typically interfere with their ability to carry out daily activities. Clinical depression, however, can significantly impact a person's daily life, including their work or school performance, relationships, and overall well-being.

Severity of symptoms: Sadness is often accompanied by temporary feelings of low mood, tearfulness, and a general sense of unhappiness. In clinical depression, the symptoms are more severe and persistent. These may include persistent feelings of sadness, loss of interest in activities, changes in appetite and sleep patterns, low energy, difficulty concentrating, feelings of worthlessness, and even thoughts of self-harm or suicide.

Triggers and causes: Sadness is usually triggered by specific events or circumstances, such as a breakup, loss of a loved one, or a disappointing experience. Clinical depression, on the other hand, can have various causes, including genetic factors, chemical imbalances in the brain, traumatic events, chronic stress, or a combination of these factors.

Treatment approach: Sadness often improves with time, self-care, and support from loved ones. However, if sadness persists or becomes overwhelming, seeking professional help is recommended. Clinical depression usually requires professional treatment, such as therapy and, in some cases, medication. It's important to consult a healthcare professional for an accurate diagnosis and appropriate treatment.

Remember, if you're experiencing persistent feelings of sadness or suspect you may have clinical depression, it's essential to reach out for help from a mental health professional.",
